year,race_name,driverRef,constructor_name,grid,qualifying_pos,grid_penalty,positionOrder,driver_points_pre_race,driver_pos_pre_race,driver_form,team_form,constructor_points_pre_race,top3,top10,DNF,pos_gain_loss,circuit_passability,driver_track_history,team_history
2023,Bahrain Grand Prix,max_verstappen,Red Bull,1,1,0,1,0.0,20.0,15.0,15.0,0.0,1,1,0,0,-0.09166666666666666,10.666666666666666,6.686991869918699
2023,Bahrain Grand Prix,perez,Red Bull,2,2,0,2,0.0,20.0,15.0,15.0,43.0,1,1,0,0,-0.09166666666666666,12.333333333333334,6.686991869918699
2023,Bahrain Grand Prix,alonso,Aston Martin,5,5,0,3,0.0,20.0,15.0,15.0,0.0,1,1,0,2,-0.09166666666666666,12.25,11.943181818181818
2023,Bahrain Grand Prix,sainz,Ferrari,4,4,0,4,0.0,20.0,15.0,15.0,0.0,0,1,0,0,-0.09166666666666666,10.166666666666666,6.703252032520325
2023,Bahrain Grand Prix,hamilton,Mercedes,7,7,0,5,0.0,20.0,15.0,15.0,0.0,0,1,0,2,-0.09166666666666666,1.8333333333333333,4.199186991869919
2023,Bahrain Grand Prix,stroll,Aston Martin,8,8,0,6,0.0,20.0,15.0,15.0,23.0,0,1,0,2,-0.09166666666666666,14.333333333333334,11.943181818181818
2023,Bahrain Grand Prix,russell,Mercedes,6,6,0,7,0.0,20.0,15.0,15.0,16.0,0,1,0,-1,-0.09166666666666666,11.25,4.199186991869919
2023,Bahrain Grand Prix,bottas,Alfa Romeo,12,12,0,8,0.0,20.0,15.0,15.0,0.0,0,1,0,4,-0.09166666666666666,4.0,13.21951219512195
2023,Bahrain Grand Prix,gasly,Alpine F1 Team,20,20,0,9,0.0,20.0,15.0,15.0,0.0,0,1,0,11,-0.09166666666666666,11.0,10.056818181818182
2023,Bahrain Grand Prix,albon,Williams,15,15,0,10,0.0,20.0,15.0,15.0,0.0,0,1,0,5,-0.09166666666666666,8.333333333333334,14.699186991869919
2023,Bahrain Grand Prix,tsunoda,AlphaTauri,14,14,0,11,0.0,20.0,15.0,15.0,0.0,0,0,0,3,-0.09166666666666666,8.5,11.926229508196721
2023,Bahrain Grand Prix,sargeant,Williams,16,16,0,12,0.0,20.0,15.0,15.0,1.0,0,0,0,4,-0.09166666666666666,12.0,14.699186991869919
2023,Bahrain Grand Prix,kevin_magnussen,Haas F1 Team,17,17,0,13,0.0,20.0,15.0,15.0,0.0,0,0,0,4,-0.09166666666666666,11.8,14.390243902439025
